Version; FileName ; Size;nr;nAuth; LOC_touched;LOC_Added; Max_locAdded;Avg_locAdded;Churn;MAX_Churn; AVG_Churn;ChgSetSize;Max_chgSetSize;Avg_chgSetSize;Buggy
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/AsyncLedgerOpsTest.java;212;5;5;298;278;256;14;258;258;14;131;4;2;no
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java;223;13;13;395;326;176;7;257;257;7;634;12;6;yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java;224;7;7;308;275;232;8;242;242;8;339;6;4;yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java;253;7;7;373;339;305;10;305;306;10;313;6;4;yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java;193;3;3;275;247;222;25;219;226;25;162;2;2;yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java;896;11;11;1354;1197;720;10;1040;1040;10;515;10;6;yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java;81;3;3;106;99;90;11;92;92;11;75;2;1;yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/CloseTest.java;63;4;4;91;83;74;9;75;75;9;114;3;2;yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java;175;7;7;218;203;178;11;188;188;11;233;6;3;no
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java;106;3;3;126;122;116;20;118;118;20;35;2;0;no
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java;46;1;1;55;55;55;55;55;55;55;0;0;0;yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java;136;5;5;200;177;163;14;154;163;14;193;4;2;no
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerRecoveryTest.java;96;5;5;152;133;88;10;114;114;10;0;0;0;yes
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java;103;6;6;142;131;117;11;120;120;11;265;5;3;no
1;bookkeeper-server/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java;55;4;4;73;68;60;10;63;63;10;175;3;2;no
1;hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java;64;1;1;72;72;72;72;72;72;72;0;0;0;no
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java;40;1;1;42;42;42;42;42;42;42;0;0;0;no
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java;44;3;3;64;56;48;6;48;48;6;123;2;1;no
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java;58;2;2;71;67;63;13;63;63;13;32;1;0;no
1;hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java;222;2;2;277;257;237;12;237;237;12;32;1;0;yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java;113;3;3;145;139;133;23;133;133;23;123;2;1;yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java;115;4;4;163;150;136;11;137;137;11;141;3;1;yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java;153;3;3;185;181;176;36;177;177;36;50;2;1;yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java;41;2;2;48;47;46;24;46;46;24;32;1;0;no
1;hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java;101;5;5;146;137;127;20;128;128;20;164;4;2;no
1;hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java;129;3;3;155;152;148;38;149;149;38;50;2;1;no
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java;53;2;2;60;59;58;30;58;58;30;32;1;0;no
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java;140;2;2;155;152;149;51;149;149;51;32;1;0;yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java;64;2;2;82;78;74;16;74;74;16;32;1;0;no
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java;32;1;1;37;37;37;37;37;37;37;0;0;0;no
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java;33;2;2;42;40;38;13;38;38;13;32;1;0;no
1;hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java;34;2;2;41;40;39;20;39;39;20;32;1;0;no
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java;82;4;4;118;107;95;9;96;96;9;141;3;1;no
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java;77;3;3;94;91;87;23;88;88;23;50;2;1;no
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java;64;4;4;85;78;70;10;71;71;10;141;3;1;no
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java;102;4;4;132;123;113;14;114;114;14;141;3;1;yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java;317;6;6;492;414;329;12;336;336;12;205;5;2;yes
1;hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java;76;4;4;102;93;83;10;84;84;10;141;3;1;no
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/impl/ClientChannelPipelineFactory.java;49;3;3;68;63;58;11;58;58;11;0;0;0;no
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java;112;4;4;137;130;122;16;123;123;16;141;3;1;no
1;hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java;332;4;4;399;384;359;21;369;369;21;141;3;1;yes
